原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0450,4x0450,座台A退1压力1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0451,4x0451,座台A退1流量1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0452,4x0452,座台A退1位置1,int,2字,0.01,,座台,false,,,1,499,是,0~300
D0454,4x0454,座台A退1时间1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0455,4x0455,座台A退2压力1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0456,4x0456,座台A退2流量1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0457,4x0457,座台A退2位置1,int,2字,0.01,,座台,false,,,2,499,是,0~D452
D0459,4x0459,座台A退2时间1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0460,4x0460,座台B退1压力1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0461,4x0461,座台B退1流量1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0462,4x0462,座台B退1位置1,int,2字,0.01,,座台,false,,,1,499,是,0~300
D0464,4x0464,座台B退1时间1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0465,4x0465,座台B退2压力1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0466,4x0466,座台B退2流量1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0467,4x0467,座台B退2位置1,int,2字,0.01,,座台,false,,,2,499,是,0~D462
D0469,4x0469,座台B退2时间1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0470,4x0470,座台C退1压力1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0471,4x0471,座台C退1流量1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0472,4x0472,座台C退1位置1,int,2字,0.01,,座台,false,,,1,499,是,0~300
D0474,4x0474,座台C退1时间1,ushort,1字,0.1,,座台,false,,,1,499,是,
D0475,4x0475,座台C退2压力1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0476,4x0476,座台C退2流量1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0477,4x0477,座台C退2位置1,int,2字,0.01,,座台,false,,,2,499,是,0~D472
D0479,4x0479,座台C退2时间1,ushort,1字,0.1,,座台,false,,,2,499,是,
D0490,4x0490,功能自动座退,ushort,1字,1,,座台,false,,,0,-1,是,
D0498,4x0498,座台进段数,ushort,1字,1,,座台,false,,,0,-1,是,
D0499,4x0499,座台退段数,ushort,1字,1,,座台,false,,,0,-1,是,
D0500,4x0500,托模A进1压力1,ushort,1字,0.1,,托模,false,,,1,598,是,
D0501,4x0501,托模A进1流量1,ushort,1字,0.1,,托模,false,,,1,598,是,
D0502,4x0502,托模A进1位置1,int,2字,0.01,,托模,false,,,1,598,是,0~300
D0504,4x0504,托模A进1时间1,ushort,1字,0.1,,托模,false,,,1,598,是,
D0505,4x0505,托模A进2压力1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0506,4x0506,托模A进2流量1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0507,4x0507,托模A进2位置1,int,2字,0.01,,托模,false,,,2,598,是,0~D502
D0509,4x0509,托模A进2时间1,ushort,1字,0.1,,托模,false,,,2,598,是,
D0510,4x0510,托模A进3压力1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0511,4x0511,托模A进3流量1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0512,4x0512,托模A进3位置1,int,2字,0.01,,托模,false,,,3,598,是,0~D507
D0514,4x0514,托模A进3时间1,ushort,1字,0.1,,托模,false,,,3,598,是,
D0515,4x0515,托模A保持压力1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0516,4x0516,托模A保持流量1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0517,4x0517,托模A保持位置1,int,2字,0.01,,托模,false,,,0,-1,是,
D0519,4x0519,托模A保持时间1,ushort,1字,0.1,,托模,false,,,0,-1,是,
D0520,4x0520,托模B进1压力1,ushort,1字,0.1,,托模,false,,,1,598,是,
D0521,4x0521,托模B进1流量1,ushort,1字,0.1,,托模,false,,,1,598,是,
